Host Country,Year,Age,Primary %,Secondary %,Tertiary %,COB
Switzerland,'14,30 to 34,10.8,33.2,56,EU-28
Switzerland,'14,30 to 34,23.5,34.6,41.9,Extra-EU-28
Switzerland,'14,30 to 34,16.5,33.8,49.7,Foreign country
Switzerland,'14,30 to 34,3.5,47.7,48.8,Reporting country
Switzerland,'14,30 to 34,9.2,41.7,49.2,Total
Switzerland,'15,25 to 54,17.4,33.1,49.5,EU-28
Switzerland,'15,25 to 54,28.6,37.5,33.9,Extra-EU-28
Switzerland,'15,25 to 54,22.2,35,42.9,Foreign country
Switzerland,'15,25 to 54,4,50.8,45.2,Reporting country
Switzerland,'15,25 to 54,10.8,44.8,44.4,Total
Switzerland,'15,30 to 34,11.6,28.4,60,EU-28
Switzerland,'15,30 to 34,25,34.5,40.6,Extra-EU-28
Switzerland,'15,30 to 34,17.8,31.2,51,Foreign country
Switzerland,'15,30 to 34,2.9,45.3,51.8,Reporting country
Switzerland,'15,30 to 34,9.2,39.3,51.4,Total
Switzerland,'16,25 to 54,16.3,32,51.6,EU-28
Switzerland,'16,25 to 54,29.1,34.9,36,Extra-EU-28
Switzerland,'16,25 to 54,21.8,33.3,45,Foreign country
Switzerland,'16,25 to 54,3.7,49.2,47.2,Reporting country
Switzerland,'16,25 to 54,10.5,43.2,46.2,Total
Switzerland,'16,30 to 34,11.7,25.2,63.1,EU-28
Switzerland,'16,30 to 34,22.4,34.7,42.9,Extra-EU-28
Switzerland,'16,30 to 34,16.5,29.5,54.1,Foreign country
Switzerland,'16,30 to 34,3.1,43.7,53.2,Reporting country
Switzerland,'16,30 to 34,8.8,37.7,53.5,Total
Sweden,'06,25 to 54,22.2,42.9,34.9,EU-28
Sweden,'06,25 to 54,31.5,37.1,31.4,Extra-EU-28
Sweden,'06,25 to 54,28.7,38.8,32.5,Foreign country
Sweden,'06,25 to 54,14.2,53.5,32.3,Reporting country
Sweden,'06,30 to 34,15.7,35.5,48.8,EU-28
Sweden,'06,30 to 34,30,36.7,33.3,Extra-EU-28
Sweden,'06,30 to 34,26.3,36.4,37.3,Foreign country
Sweden,'06,30 to 34,9,51.1,39.9,Reporting country
Sweden,'07,25 to 54,21.6,40.7,37.7,EU-28
Sweden,'07,25 to 54,31.9,36.3,31.8,Extra-EU-28
