Host Country,Year,Sex,AROPE %,COB
Spain,'11,Females,52.2,Extra-EU-28
Spain,'11,Females,47.5,Foreign country
Spain,'11,Females,22.8,Reporting country
Spain,'11,Males,35.1,EU-28
Spain,'11,Males,50.2,Extra-EU-28
Spain,'11,Males,45.3,Foreign country
Spain,'11,Males,22,Reporting country
Spain,'11,Total,36.4,EU-28
Spain,'11,Total,51.2,Extra-EU-28
Spain,'11,Total,46.5,Foreign country
Spain,'11,Total,22.4,Reporting country
Spain,'12,Females,37.2,EU-28
Spain,'12,Females,50.6,Extra-EU-28
Spain,'12,Females,46.7,Foreign country
Spain,'12,Females,22.7,Reporting country
Spain,'12,Males,34.5,EU-28
Spain,'12,Males,54.9,Extra-EU-28
Spain,'12,Males,48.7,Foreign country
Spain,'12,Males,22.7,Reporting country
Spain,'12,Total,35.9,EU-28
Spain,'12,Total,52.7,Extra-EU-28
Spain,'12,Total,47.7,Foreign country
Spain,'12,Total,22.7,Reporting country
Spain,'13,Females,34.6,EU-28
Spain,'13,Females,53.4,Extra-EU-28
Spain,'13,Females,47.7,Foreign country
Spain,'13,Females,22.5,Reporting country
Spain,'13,Males,38.1,EU-28
Spain,'13,Males,54.8,Extra-EU-28
Spain,'13,Males,49.8,Foreign country
Spain,'13,Males,23,Reporting country
Spain,'13,Total,36.3,EU-28
Spain,'13,Total,54.1,Extra-EU-28
Spain,'13,Total,48.7,Foreign country
Spain,'13,Total,22.8,Reporting country
Spain,'14,Females,44.8,EU-28
Spain,'14,Females,55.7,Extra-EU-28
Spain,'14,Females,52.6,Foreign country
Spain,'14,Females,24.5,Reporting country
Spain,'14,Males,41.6,EU-28
Spain,'14,Males,54.4,Extra-EU-28
Spain,'14,Males,50.7,Foreign country
Spain,'14,Males,24.9,Reporting country
Spain,'14,Total,43.2,EU-28
Spain,'14,Total,55.1,Extra-EU-28
Spain,'14,Total,51.7,Foreign country
Spain,'14,Total,24.7,Reporting country
Spain,'15,Females,39,EU-28
Spain,'15,Females,53.2,Extra-EU-28
Spain,'15,Females,48.7,Foreign country
Spain,'15,Females,24.2,Reporting country
Spain,'15,Males,38.9,EU-28
Spain,'15,Males,58.8,Extra-EU-28
Spain,'15,Males,52,Foreign country
Spain,'15,Males,24.7,Reporting country
Spain,'15,Total,38.9,EU-28
Spain,'15,Total,55.7,Extra-EU-28
Spain,'15,Total,50.2,Foreign country
Spain,'15,Total,24.4,Reporting country
Spain,'16,Females,40.9,EU-28
Spain,'16,Females,51.4,Extra-EU-28
Spain,'16,Females,48.3,Foreign country
Spain,'16,Females,23.9,Reporting country
Spain,'16,Males,46.4,EU-28
Spain,'16,Males,51.3,Extra-EU-28
Spain,'16,Males,49.7,Foreign country
Spain,'16,Males,23.8,Reporting country
Spain,'16,Total,43.6,EU-28
Spain,'16,Total,51.4,Extra-EU-28
Spain,'16,Total,48.9,Foreign country
Spain,'16,Total,23.8,Reporting country
Slovenia,'06,Females,20.7,Foreign country
Slovenia,'06,Females,19.4,Reporting country
Slovenia,'06,Males,18.8,Foreign country
Slovenia,'06,Males,15.2,Reporting country
Slovenia,'06,Total,19.8,Foreign country
Slovenia,'06,Total,17.4,Reporting country
Slovenia,'07,Females,23.3,Foreign country
Slovenia,'07,Females,19.7,Reporting country
Slovenia,'07,Males,20.8,Foreign country
