Host Country,Year,NEET %,COB
Norway,'15,6.1,Reporting country
Norway,'15,7,Total
Norway,'16,9.8,EU-28
Norway,'16,11.4,Extra-EU-28
Norway,'16,10.9,Foreign country
Norway,'16,6.5,Reporting country
Norway,'16,7.1,Total
Netherlands,'06,6.6,EU-28
Netherlands,'06,16.8,Extra-EU-28
Netherlands,'06,15,Foreign country
Netherlands,'06,4.2,Reporting country
Netherlands,'07,9.1,EU-28
Netherlands,'07,15.1,Extra-EU-28
Netherlands,'07,13.9,Foreign country
Netherlands,'07,3.7,Reporting country
Netherlands,'08,6.3,EU-28
Netherlands,'08,14.7,Extra-EU-28
Netherlands,'08,13.1,Foreign country
Netherlands,'08,3.6,Reporting country
Netherlands,'09,8.6,EU-28
Netherlands,'09,13,Extra-EU-28
Netherlands,'09,12.2,Foreign country
Netherlands,'09,4.3,Reporting country
Netherlands,'10,7.3,EU-28
Netherlands,'10,13.6,Extra-EU-28
Netherlands,'10,12.3,Foreign country
Netherlands,'10,5,Reporting country
Netherlands,'10,5.7,Total
Netherlands,'11,8.3,EU-28
Netherlands,'11,14.3,Extra-EU-28
Netherlands,'11,13,Foreign country
Netherlands,'11,5,Reporting country
Netherlands,'11,5.9,Total
Netherlands,'12,8.9,EU-28
Netherlands,'12,15.4,Extra-EU-28
Netherlands,'12,13.8,Foreign country
Netherlands,'12,5.7,Reporting country
Netherlands,'12,6.5,Total
Netherlands,'13,12.3,EU-28
Netherlands,'13,17,Extra-EU-28
Netherlands,'13,15.9,Foreign country
Netherlands,'13,6.6,Reporting country
Netherlands,'13,7.5,Total
Netherlands,'14,13.2,EU-28
Netherlands,'14,16.2,Extra-EU-28
Netherlands,'14,15.4,Foreign country
Netherlands,'14,6.7,Reporting country
Netherlands,'14,7.6,Total
Netherlands,'15,10.8,EU-28
Netherlands,'15,15.8,Extra-EU-28
Netherlands,'15,14.5,Foreign country
Netherlands,'15,5.9,Reporting country
Netherlands,'15,6.7,Total
Netherlands,'16,8.5,EU-28
Netherlands,'16,13.4,Extra-EU-28
Netherlands,'16,12.1,Foreign country
Netherlands,'16,5.7,Reporting country
Netherlands,'16,6.3,Total
Malta,'06,13.7,Foreign country
Malta,'06,13.6,Reporting country
Malta,'07,11.7,Foreign country
Malta,'07,13.8,Reporting country
Malta,'08,11.5,Reporting country
Malta,'09,16.7,Foreign country
Malta,'09,12.4,Reporting country
Malta,'10,18.6,Extra-EU-28
Malta,'10,17.7,Foreign country
Malta,'10,11.9,Reporting country
Malta,'10,12.2,Total
Malta,'11,22.8,Extra-EU-28
Malta,'11,21.1,Foreign country
Malta,'11,11.7,Reporting country
Malta,'11,12.1,Total
Malta,'12,13.5,Foreign country
Malta,'12,11.7,Reporting country
Malta,'12,11.7,Total
Malta,'13,20.1,Extra-EU-28
Malta,'13,23.4,Foreign country
Malta,'13,10.7,Reporting country
Malta,'13,11.3,Total
Malta,'14,18.2,Extra-EU-28
Malta,'14,17.1,Foreign country
Malta,'14,11.4,Reporting country
Malta,'14,11.7,Total
Malta,'15,20.9,Extra-EU-28
Malta,'15,16.7,Foreign country
Malta,'15,11.1,Reporting country
Malta,'15,11.4,Total
Malta,'16,23.8,Extra-EU-28
Malta,'16,18.6,Foreign country
Malta,'16,8.5,Reporting country
Malta,'16,8.8,Total
Luxembourg,'06,10,EU-28
Luxembourg,'06,27.9,Extra-EU-28
Luxembourg,'06,13.6,Foreign country
Luxembourg,'06,5.7,Reporting country
Luxembourg,'07,6,EU-28
Luxembourg,'07,24.7,Extra-EU-28
Luxembourg,'07,9.4,Foreign country
Luxembourg,'07,6.4,Reporting country
Luxembourg,'08,10.3,EU-28
Luxembourg,'08,36.7,Extra-EU-28
Luxembourg,'08,15.2,Foreign country
Luxembourg,'08,6.6,Reporting country
Luxembourg,'09,10.9,EU-28
Luxembourg,'09,17.9,Extra-EU-28
Luxembourg,'09,12.5,Foreign country
Luxembourg,'09,5,Reporting country
Luxembourg,'10,6,EU-28
Luxembourg,'10,18.3,Extra-EU-28
Luxembourg,'10,8.6,Foreign country
Luxembourg,'10,4.8,Reporting country
Luxembourg,'10,6.1,Total
Luxembourg,'11,6.7,EU-28
Luxembourg,'11,20,Extra-EU-28
Luxembourg,'11,9.5,Foreign country
Luxembourg,'11,4.9,Reporting country
Luxembourg,'11,6.6,Total
Luxembourg,'12,10.8,EU-28
Luxembourg,'12,19.8,Extra-EU-28
Luxembourg,'12,12.8,Foreign country
Luxembourg,'12,4.7,Reporting country
Luxembourg,'12,7.6,Total
Luxembourg,'13,8.7,EU-28
Luxembourg,'13,17.4,Extra-EU-28
Luxembourg,'13,10.7,Foreign country
Luxembourg,'13,5.3,Reporting country
Luxembourg,'13,7.2,Total
Luxembourg,'14,6.4,EU-28
Luxembourg,'14,22.1,Extra-EU-28
Luxembourg,'14,9.2,Foreign country
Luxembourg,'14,5.2,Reporting country
Luxembourg,'14,6.5,Total
Luxembourg,'15,8.3,EU-28
Luxembourg,'15,15,Extra-EU-28
Luxembourg,'15,10,Foreign country
Luxembourg,'15,6.2,Reporting country
Luxembourg,'15,7.6,Total
Luxembourg,'16,9.1,EU-28
Luxembourg,'16,15.8,Extra-EU-28
Luxembourg,'16,10.7,Foreign country
Luxembourg,'16,4.3,Reporting country
Luxembourg,'16,6.8,Total
Lithuania,'06,10.1,Reporting country
Lithuania,'07,10,Reporting country
Lithuania,'08,11.9,Reporting country
Lithuania,'09,15,Reporting country
Lithuania,'10,16.9,Reporting country
Lithuania,'10,17,Total
Lithuania,'11,14.6,Reporting country
Lithuania,'11,14.7,Total
Lithuania,'12,13.9,Reporting country
Lithuania,'12,13.9,Total
Lithuania,'13,13.7,Reporting country
Lithuania,'13,13.7,Total
Lithuania,'14,12.8,Reporting country
Lithuania,'14,12.9,Total
Lithuania,'15,11.7,Reporting country
Lithuania,'15,11.8,Total
Lithuania,'16,10.7,Reporting country
Lithuania,'16,10.7,Total
Latvia,'06,13.8,Reporting country
Latvia,'07,16.7,Extra-EU-28
Latvia,'07,16.3,Foreign country
Latvia,'07,13.8,Reporting country
Latvia,'08,18.8,Extra-EU-28
Latvia,'08,18.9,Foreign country
Latvia,'08,13.4,Reporting country
Latvia,'09,34.2,Extra-EU-28
Latvia,'09,34.7,Foreign country
Latvia,'09,20.5,Reporting country
Latvia,'10,22,Extra-EU-28
Latvia,'10,23.3,Foreign country
Latvia,'10,20.7,Reporting country
Latvia,'10,20.7,Total
Latvia,'11,21.4,Extra-EU-28
Latvia,'11,24.3,Foreign country
Latvia,'11,19,Reporting country
Latvia,'11,19.1,Total
Latvia,'12,17.3,Reporting country
Latvia,'12,17.2,Total
Latvia,'13,15.4,Reporting country
Latvia,'13,15.6,Total
Latvia,'14,15.1,Reporting country
Latvia,'14,15.2,Total
Latvia,'15,31.4,Extra-EU-28
Latvia,'15,28.7,Foreign country
Latvia,'15,13.4,Reporting country
Latvia,'15,13.8,Total
Latvia,'16,13.3,Reporting country
Latvia,'16,13.3,Total
Italy,'06,26.8,EU-28
Italy,'06,27.5,Extra-EU-28
Italy,'06,27.3,Foreign country
Italy,'06,18.5,Reporting country
Italy,'07,26.7,EU-28
Italy,'07,26.2,Extra-EU-28
Italy,'07,26.4,Foreign country
Italy,'07,18.1,Reporting country
Italy,'08,28,EU-28
Italy,'08,28.8,Extra-EU-28
Italy,'08,28.6,Foreign country
Italy,'08,18.2,Reporting country
Italy,'09,26,EU-28
Italy,'09,31.5,Extra-EU-28
Italy,'09,29.7,Foreign country
Italy,'09,19.3,Reporting country
Italy,'10,28,EU-28
Italy,'10,35.1,Extra-EU-28
Italy,'10,32.7,Foreign country
Italy,'10,20.6,Reporting country
Italy,'10,22,Total
Italy,'11,30.1,EU-28
Italy,'11,33.3,Extra-EU-28
Italy,'11,32.3,Foreign country
Italy,'11,21.2,Reporting country
Italy,'11,22.5,Total
