Host Country,Year,Sex,AROPE %,Citizen
Sweden,'11,Total,22.8,EU-28
Sweden,'11,Total,58.1,Extra-EU-28
Sweden,'11,Total,40.8,Foreign country
Sweden,'11,Total,15.1,Reporting country
Sweden,'12,Females,29.7,EU-28
Sweden,'12,Females,47.6,Extra-EU-28
Sweden,'12,Females,38.6,Foreign country
Sweden,'12,Females,16.4,Reporting country
Sweden,'12,Males,32.3,EU-28
Sweden,'12,Males,50.3,Extra-EU-28
Sweden,'12,Males,41.4,Foreign country
Sweden,'12,Males,12.2,Reporting country
Sweden,'12,Total,31,EU-28
Sweden,'12,Total,49,Extra-EU-28
Sweden,'12,Total,40,Foreign country
Sweden,'12,Total,14.4,Reporting country
Sweden,'13,Females,30.2,EU-28
Sweden,'13,Females,50.2,Extra-EU-28
Sweden,'13,Females,39.5,Foreign country
Sweden,'13,Females,16.9,Reporting country
Sweden,'13,Males,22.5,EU-28
Sweden,'13,Males,44.7,Extra-EU-28
Sweden,'13,Males,33.7,Foreign country
Sweden,'13,Males,13.5,Reporting country
Sweden,'13,Total,26.4,EU-28
Sweden,'13,Total,47.3,Extra-EU-28
Sweden,'13,Total,36.6,Foreign country
Sweden,'13,Total,15.2,Reporting country
Sweden,'14,Females,34.9,EU-28
Sweden,'14,Females,56.4,Extra-EU-28
Sweden,'14,Females,45.5,Foreign country
Sweden,'14,Females,16.6,Reporting country
Sweden,'14,Males,32,EU-28
Sweden,'14,Males,49.6,Extra-EU-28
Sweden,'14,Males,39.9,Foreign country
Sweden,'14,Males,14.3,Reporting country
Sweden,'14,Total,33.4,EU-28
Sweden,'14,Total,53.1,Extra-EU-28
Sweden,'14,Total,42.7,Foreign country
Sweden,'14,Total,15.5,Reporting country
Sweden,'15,Females,33,EU-28
Sweden,'15,Females,63.6,Extra-EU-28
Sweden,'15,Females,51.6,Foreign country
Sweden,'15,Females,15.9,Reporting country
Sweden,'15,Males,25.9,EU-28
Sweden,'15,Males,54.7,Extra-EU-28
Sweden,'15,Males,40.8,Foreign country
Sweden,'15,Males,13.6,Reporting country
Sweden,'15,Total,29.3,EU-28
Sweden,'15,Total,59.8,Extra-EU-28
Sweden,'15,Total,46.5,Foreign country
Sweden,'15,Total,14.8,Reporting country
Spain,'06,Females,37.6,Foreign country
Spain,'06,Females,23.7,Reporting country
Spain,'06,Males,33.3,Foreign country
Spain,'06,Males,20.1,Reporting country
Spain,'06,Total,35.6,Foreign country
Spain,'06,Total,21.9,Reporting country
Spain,'07,Females,34.4,Foreign country
Spain,'07,Females,22.8,Reporting country
Spain,'07,Males,28.9,Foreign country
Spain,'07,Males,19.6,Reporting country
Spain,'07,Total,31.8,Foreign country
Spain,'07,Total,21.2,Reporting country
Spain,'08,Females,50.4,Foreign country
Spain,'08,Females,20.9,Reporting country
Spain,'08,Males,47.7,Foreign country
Spain,'08,Males,17.6,Reporting country
Spain,'08,Total,49.1,Foreign country
Spain,'08,Total,19.3,Reporting country
Spain,'09,Females,36.6,EU-28
Spain,'09,Females,51.8,Extra-EU-28
Spain,'09,Females,47.2,Foreign country
Spain,'09,Females,21.9,Reporting country
Spain,'09,Males,38.8,EU-28
Spain,'09,Males,47.7,Extra-EU-28
Spain,'09,Males,44.6,Foreign country
Spain,'09,Males,19.3,Reporting country
Spain,'09,Total,37.8,EU-28
Spain,'09,Total,49.9,Extra-EU-28
Spain,'09,Total,45.9,Foreign country
Spain,'09,Total,20.6,Reporting country
Spain,'10,Females,40.2,EU-28
Spain,'10,Females,51.4,Extra-EU-28
Spain,'10,Females,47.7,Foreign country
Spain,'10,Females,22.7,Reporting country
Spain,'10,Males,40.3,EU-28
Spain,'10,Males,49.4,Extra-EU-28
Spain,'10,Males,46.2,Foreign country
Spain,'10,Males,21.2,Reporting country
Spain,'10,Total,40.3,EU-28
Spain,'10,Total,50.4,Extra-EU-28
Spain,'10,Total,47,Foreign country
Spain,'10,Total,22,Reporting country
Spain,'11,Females,39.9,EU-28
Spain,'11,Females,59.4,Extra-EU-28
Spain,'11,Females,52.1,Foreign country
Spain,'11,Females,23.1,Reporting country
Spain,'11,Males,33.7,EU-28
Spain,'11,Males,54.2,Extra-EU-28
Spain,'11,Males,46.7,Foreign country
Spain,'11,Males,22.4,Reporting country
Spain,'11,Total,36.9,EU-28
Spain,'11,Total,56.8,Extra-EU-28
Spain,'11,Total,49.5,Foreign country
Spain,'11,Total,22.7,Reporting country
Spain,'12,Females,39.5,EU-28
Spain,'12,Females,55.8,Extra-EU-28
Spain,'12,Females,50.4,Foreign country
Spain,'12,Females,23.1,Reporting country
Spain,'12,Males,35.9,EU-28
Spain,'12,Males,57.5,Extra-EU-28
Spain,'12,Males,50.2,Foreign country
Spain,'12,Males,23.3,Reporting country
Spain,'12,Total,37.7,EU-28
Spain,'12,Total,56.7,Extra-EU-28
Spain,'12,Total,50.3,Foreign country
Spain,'12,Total,23.2,Reporting country
Spain,'13,Females,37.6,EU-28
Spain,'13,Females,59.8,Extra-EU-28
Spain,'13,Females,51.9,Foreign country
Spain,'13,Females,23,Reporting country
Spain,'13,Males,40.5,EU-28
Spain,'13,Males,59.3,Extra-EU-28
Spain,'13,Males,52.8,Foreign country
Spain,'13,Males,23.6,Reporting country
Spain,'13,Total,39,EU-28
Spain,'13,Total,59.5,Extra-EU-28
Spain,'13,Total,52.4,Foreign country
Spain,'13,Total,23.3,Reporting country
Spain,'14,Females,48.7,EU-28
Spain,'14,Females,62.9,Extra-EU-28
Spain,'14,Females,57.9,Foreign country
Spain,'14,Females,25.1,Reporting country
Spain,'14,Males,43.1,EU-28
Spain,'14,Males,61,Extra-EU-28
Spain,'14,Males,54.3,Foreign country
Spain,'14,Males,25.6,Reporting country
Spain,'14,Total,45.9,EU-28
Spain,'14,Total,62,Extra-EU-28
Spain,'14,Total,56.1,Foreign country
Spain,'14,Total,25.3,Reporting country
Spain,'15,Females,41.6,EU-28
Spain,'15,Females,60.2,Extra-EU-28
Spain,'15,Females,52.5,Foreign country
Spain,'15,Females,24.9,Reporting country
Spain,'15,Males,38.9,EU-28
Spain,'15,Males,66.1,Extra-EU-28
Spain,'15,Males,54.5,Foreign country
Spain,'15,Males,25.4,Reporting country
Spain,'15,Total,40.3,EU-28
Spain,'15,Total,62.9,Extra-EU-28
Spain,'15,Total,53.5,Foreign country
Spain,'15,Total,25.1,Reporting country
Spain,'16,Females,45.4,EU-28
Spain,'16,Females,58.8,Extra-EU-28
Spain,'16,Females,54,Foreign country
Spain,'16,Females,24.5,Reporting country
Spain,'16,Males,47,EU-28
Spain,'16,Males,60.3,Extra-EU-28
Spain,'16,Males,54.9,Foreign country
Spain,'16,Males,24.2,Reporting country
Spain,'16,Total,46.2,EU-28
Spain,'16,Total,59.5,Extra-EU-28
Spain,'16,Total,54.5,Foreign country
Spain,'16,Total,24.4,Reporting country
Slovenia,'06,Females,39.7,Foreign country
Slovenia,'06,Females,19.6,Reporting country
Slovenia,'06,Males,37.4,Foreign country
Slovenia,'06,Males,15.6,Reporting country
Slovenia,'06,Total,38.5,Foreign country
Slovenia,'06,Total,17.6,Reporting country
Slovenia,'07,Females,38.6,Foreign country
Slovenia,'07,Females,20,Reporting country
Slovenia,'07,Males,26.5,Foreign country
Slovenia,'07,Males,15.1,Reporting country
Slovenia,'07,Total,31.9,Foreign country
Slovenia,'07,Total,17.6,Reporting country
Slovenia,'08,Females,48.5,Foreign country
Slovenia,'08,Females,20.9,Reporting country
Slovenia,'08,Males,30.2,Foreign country
Slovenia,'08,Males,17.1,Reporting country
