Host Country,Year,Lifelong Learning %,COB
Slovenia,'11,18.9,Total
Slovenia,'12,10.2,EU-28
Slovenia,'12,6,Extra-EU-28
Slovenia,'12,6.9,Foreign country
Slovenia,'12,17.4,Reporting country
Slovenia,'12,16.4,Total
Slovenia,'13,10.4,EU-28
Slovenia,'13,6.3,Extra-EU-28
Slovenia,'13,7.3,Foreign country
Slovenia,'13,15.7,Reporting country
Slovenia,'13,14.8,Total
Slovenia,'14,13.6,EU-28
Slovenia,'14,6.5,Extra-EU-28
Slovenia,'14,8,Foreign country
Slovenia,'14,15.2,Reporting country
Slovenia,'14,14.4,Total
Slovenia,'15,11.2,EU-28
Slovenia,'15,6.4,Extra-EU-28
Slovenia,'15,7.5,Foreign country
Slovenia,'15,15.4,Reporting country
Slovenia,'15,14.6,Total
Slovenia,'16,13,EU-28
Slovenia,'16,6.5,Extra-EU-28
Slovenia,'16,7.7,Foreign country
Slovenia,'16,14.8,Reporting country
Slovenia,'16,14,Total
Slovakia,'06,4.8,Reporting country
Slovakia,'06,4.8,Total
Slovakia,'07,4.7,Reporting country
Slovakia,'07,4.7,Total
Slovakia,'08,4.3,Reporting country
Slovakia,'08,4.3,Total
Slovakia,'09,3.7,Reporting country
Slovakia,'09,3.7,Total
Slovakia,'10,3.7,Reporting country
Slovakia,'10,3.7,Total
Slovakia,'11,4.8,Reporting country
Slovakia,'11,4.8,Total
Slovakia,'12,3.8,Reporting country
Slovakia,'12,3.9,Total
Slovakia,'13,3.7,Reporting country
Slovakia,'13,3.7,Total
Slovakia,'14,3.8,Reporting country
Slovakia,'14,3.8,Total
Slovakia,'15,3.7,Reporting country
Slovakia,'15,3.7,Total
Slovakia,'16,3.4,Reporting country
Slovakia,'16,3.5,Total
Romania,'06,1.9,Reporting country
Romania,'06,1.9,Total
Romania,'07,1.9,Reporting country
Romania,'07,1.9,Total
Romania,'08,2.2,Reporting country
Romania,'08,2.2,Total
Romania,'09,2.2,Reporting country
Romania,'09,2.2,Total
Romania,'10,1.8,Reporting country
Romania,'10,1.8,Total
Romania,'11,2.1,Reporting country
Romania,'11,2.1,Total
Romania,'12,1.8,Reporting country
Romania,'12,1.8,Total
Romania,'13,2.5,Reporting country
Romania,'13,2.5,Total
Romania,'14,1.9,Reporting country
Romania,'14,1.9,Total
Romania,'15,1.6,Reporting country
Romania,'15,1.7,Total
Romania,'16,1.5,Reporting country
Romania,'16,1.5,Total
Portugal,'06,7.5,EU-28
Portugal,'06,5.5,Extra-EU-28
Portugal,'06,6,Foreign country
Portugal,'06,5,Reporting country
Portugal,'06,5.1,Total
Portugal,'07,9.2,EU-28
Portugal,'07,5.6,Extra-EU-28
Portugal,'07,6.4,Foreign country
Portugal,'07,5.2,Reporting country
Portugal,'07,5.3,Total
Portugal,'08,8.7,EU-28
Portugal,'08,7.2,Extra-EU-28
Portugal,'08,7.5,Foreign country
Portugal,'08,6.3,Reporting country
Portugal,'08,6.4,Total
Portugal,'09,11,EU-28
Portugal,'09,7.1,Extra-EU-28
Portugal,'09,7.9,Foreign country
Portugal,'09,7.9,Reporting country
Portugal,'09,7.9,Total
Portugal,'10,7.8,EU-28
Portugal,'10,6.3,Extra-EU-28
Portugal,'10,6.7,Foreign country
Portugal,'10,6.9,Reporting country
Portugal,'10,6.9,Total
Portugal,'11,13.7,EU-28
Portugal,'11,15.9,Extra-EU-28
Portugal,'11,15.4,Foreign country
Portugal,'11,13.2,Reporting country
Portugal,'11,13.4,Total
Portugal,'12,12.3,EU-28
Portugal,'12,15.2,Extra-EU-28
Portugal,'12,14.5,Foreign country
Portugal,'12,12.1,Reporting country
Portugal,'12,12.3,Total
Portugal,'13,13.1,EU-28
